"PG.Genes","PG.ProteinAccessions","PG.ProteinDescriptions","PG.ProteinNames"
"SAMD11","A0A087WU74;A0A087WX24;A0A087WXB3;A0A087WYU3;A0A087WYW1;A0A087X1J5;A0A087X223;H7BY14;H7C3J6;Q96NU1","Sterile alpha motif domain-containing protein 11;Sterile alpha motif domain-containing protein 11;Sterile alpha motif domain-containing protein 11 (Fragment);Sterile alpha motif domain-containing protein 11 (Fragment);Sterile alpha motif domain-containing protein 11 (Fragment);Sterile alpha motif domain-containing protein 11 (Fragment);Sterile alpha motif domain-containing protein 11 (Fragment);Sterile alpha motif domain-containing protein 11 (Fragment);Sterile alpha motif domain-containing protein 11 (Fragment);Sterile alpha motif domain-containing protein 11","A0A087WU74_HUMAN;A0A087WX24_HUMAN;A0A087WXB3_HUMAN;A0A087WYU3_HUMAN;A0A087WYW1_HUMAN;A0A087X1J5_HUMAN;A0A087X223_HUMAN;H7BY14_HUMAN;H7C3J6_HUMAN;SAM11_HUMAN"
"CTNNBL1","A0A087WUB9;Q8WYA6","Beta-catenin-like protein 1","A0A087WUB9_HUMAN;CTBL1_HUMAN"
"OSTC","A0A087WUD3;Q9NRP0","Oligosaccharyltransferase complex subunit;Oligosaccharyltransferase complex subunit OSTC","A0A087WUD3_HUMAN;OSTC_HUMAN"
"HNRNPDL","A0A087WUK2;O14979","Heterogeneous nuclear ribonucleoprotein D-like","A0A087WUK2_HUMAN;HNRDL_HUMAN"
"PDLIM2","A0A087WUQ1","PDZ and LIM domain protein 2","A0A087WUQ1_HUMAN"
"EIF5B","A0A087WUT6;O60841","Eukaryotic translation initiation factor 5B","A0A087WUT6_HUMAN;IF2P_HUMAN"
"PIAS2","A0A087WUY7;O75928","E3 SUMO-protein ligase PIAS2 (Fragment);E3 SUMO-protein ligase PIAS2","A0A087WUY7_HUMAN;PIAS2_HUMAN"
";MYCBP","A0A087WV05;Q99417","c-Myc-binding protein","A0A087WV05_HUMAN;MYCBP_HUMAN"
"GLMP","A0A087WV34;Q8WWB7","Glycosylated lysosomal membrane protein","A0A087WV34_HUMAN;GLMP_HUMAN"
"LAMTOR4","A0A087WV46;C9JXA7;Q0VGL1","Ragulator complex protein LAMTOR4","A0A087WV46_HUMAN;C9JXA7_HUMAN;LTOR4_HUMAN"
"LENG9","A0A087WVD1","Leukocyte receptor cluster member 9","A0A087WVD1_HUMAN"
"RUSC1","A0A087WVK5","AP-4 complex accessory subunit RUSC1 (Fragment)","A0A087WVK5_HUMAN"
"CLTC","A0A087WVQ6;A0A8V8TQ14;A0A8V8TR47;A0A8V8TRF0;K7EJJ5;Q00610","Clathrin heavy chain;Clathrin heavy chain 1;Clathrin heavy chain 1;Clathrin heavy chain 1;Clathrin heavy chain 1;Clathrin heavy chain 1","A0A087WVQ6_HUMAN;A0A8V8TQ14_HUMAN;A0A8V8TR47_HUMAN;A0A8V8TRF0_HUMAN;K7EJJ5_HUMAN;CLH1_HUMAN"
"EEF1A1","A0A087WVQ9;A0A7I2V659;P68104","Elongation factor 1-alpha;Elongation factor 1-alpha;Elongation factor 1-alpha 1","A0A087WVQ9_HUMAN;A0A7I2V659_HUMAN;EF1A1_HUMAN"
"SSBP3","A0A087WVT6;Q9BWW4","Single-stranded DNA-binding protein 3","A0A087WVT6_HUMAN;SSBP3_HUMAN"
"ZMYND8","A0A087WVZ6","Protein kinase C-binding protein 1","A0A087WVZ6_HUMAN"
"LLGL1","A0A087WW77;Q15334","Lethal(2) giant larvae protein homolog 1","A0A087WW77_HUMAN;L2GL1_HUMAN"
"CHMP2B","A0A087WW88;Q9UQN3","Charged multivesicular body protein 2b","A0A087WW88_HUMAN;CHM2B_HUMAN"
"KIF1B","A0A087WWA3;A0A8Q3WLB2;A0A8Q3WLB3;A0A8Q3WM94;O60333;Q4R9M9","Kinesin-like protein KIF1B;Kinesin-like protein KIF1B;Kinesin-like protein KIF1B;Kinesin-like protein KIF1B;Kinesin-like protein KIF1B;Kinesin family member 1Bbeta isoform II","A0A087WWA3_HUMAN;A0A8Q3WLB2_HUMAN;A0A8Q3WLB3_HUMAN;A0A8Q3WM94_HUMAN;KIF1B_HUMAN;Q4R9M9_HUMAN"
"ZNG1C;ZNG1C;CBWD5;ZNG1C;ZNG1E;ZNG1E","A0A087WWG3;A0A0A0MRU4;A0A0A6YYH9;Q5JTY5;Q5RIA9;Q5RIB0","Zinc-regulated GTPase metalloprotein activator 1C;Zinc-regulated GTPase metalloprotein activator 1C;COBW domain-containing protein 5;Zinc-regulated GTPase metalloprotein activator 1C;Zinc-regulated GTPase metalloprotein activator 1E;Zinc-regulated GTPase metalloprotein activator 1E","A0A087WWG3_HUMAN;A0A0A0MRU4_HUMAN;A0A0A6YYH9_HUMAN;ZNG1C_HUMAN;ZNG1E_HUMAN;Q5RIB0_HUMAN"
"DCAF7","A0A087WWI6;A0A8I5KRG1;P61962","DDB1- and CUL4-associated factor 7","A0A087WWI6_HUMAN;A0A8I5KRG1_HUMAN;DCAF7_HUMAN"
"RBM15","A0A087WWP4;A0A499FJY3;Q96T37","RNA-binding protein 15","A0A087WWP4_HUMAN;A0A499FJY3_HUMAN;RBM15_HUMAN"
"RSBN1","A0A087WWP8;Q5VWQ0","Lysine-specific demethylase 9","A0A087WWP8_HUMAN;RSBN1_HUMAN"
"SSX3;SSX9P;SSX3","A0A087WWQ6;Q7RTT3;Q99909","Protein SSX3;Putative protein SSX9;Protein SSX3","A0A087WWQ6_HUMAN;SSX9_HUMAN;SSX3_HUMAN"
"TPM3","A0A087WWU8","Tropomyosin alpha-3 chain","A0A087WWU8_HUMAN"
"CABIN1","A0A087WWW8;Q9Y6J0","Calcineurin-binding protein cabin-1","A0A087WWW8_HUMAN;CABIN_HUMAN"
"KCTD17","A0A087WX35;H0Y731;Q8N5Z5","BTB/POZ domain-containing protein KCTD17;BTB/POZ domain-containing protein KCTD17 (Fragment);BTB/POZ domain-containing protein KCTD17","A0A087WX35_HUMAN;H0Y731_HUMAN;KCD17_HUMAN"
"CLTCL1","A0A087WX41;P53675","Clathrin heavy chain 2","A0A087WX41_HUMAN;CLH2_HUMAN"
"LAMA2","A0A087WX80;A0A087WYF1;P24043","Laminin subunit alpha-2","A0A087WX80_HUMAN;A0A087WYF1_HUMAN;LAMA2_HUMAN"
"ZNF630","A0A087WXA8;Q2M218","Zinc finger protein 630","A0A087WXA8_HUMAN;ZN630_HUMAN"
"NDUFA10","A0A087WXC5;A0A7I2V594;E7ESZ7;O95299","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial","A0A087WXC5_HUMAN;A0A7I2V594_HUMAN;E7ESZ7_HUMAN;NDUAA_HUMAN"
"PAMR1","A0A087WXE9;E9PMN5;E9PQ70;Q6UXH9","Inactive serine protease PAMR1;Inactive serine protease PAMR1 (Fragment);Inactive serine protease PAMR1 (Fragment);Inactive serine protease PAMR1","A0A087WXE9_HUMAN;E9PMN5_HUMAN;E9PQ70_HUMAN;PAMR1_HUMAN"
"ZCCHC17","A0A087WXF8;A0A087WYV3;A0A0D9SEW3;Q9NP64","Zinc finger CCHC domain-containing protein 17","A0A087WXF8_HUMAN;A0A087WYV3_HUMAN;A0A0D9SEW3_HUMAN;ZCC17_HUMAN"
"FCGBP","A0A087WXI2;Q9Y6R7","IgGFc-binding protein","A0A087WXI2_HUMAN;FCGBP_HUMAN"
"INTS7","A0A087WXK3","Integrator complex subunit 7 (Fragment)","A0A087WXK3_HUMAN"
"ABCA2","A0A087WXK5;Q9BZC7","ATP-binding cassette sub-family A member 2","A0A087WXK5_HUMAN;ABCA2_HUMAN"
"VPS11","A0A087WXL6;Q9H270","Vacuolar protein sorting-associated protein 11 homolog","A0A087WXL6_HUMAN;VPS11_HUMAN"
"RPL17;RPL17-C18orf32;RPL17;RPL17;RPL17","A0A087WXM6;A0A0A6YYL6;J3KRX5;J3QQT2;P18621","60S ribosomal protein L17 (Fragment);60S ribosomal protein L17;60S ribosomal protein L17 (Fragment);60S ribosomal protein L17 (Fragment);60S ribosomal protein L17","A0A087WXM6_HUMAN;A0A0A6YYL6_HUMAN;J3KRX5_HUMAN;J3QQT2_HUMAN;RL17_HUMAN"
"BCAM","A0A087WXM8;K7ENU8;P50895","Basal cell adhesion molecule;Basal cell adhesion molecule (Fragment);Basal cell adhesion molecule","A0A087WXM8_HUMAN;K7ENU8_HUMAN;BCAM_HUMAN"
"SREK1","A0A087WY03;E5RFV3","Splicing regulatory glutamine/lysine-rich protein 1","A0A087WY03_HUMAN;E5RFV3_HUMAN"
"VTA1","A0A087WY55;Q9NP79","Chromosome 6 open reading frame 55, isoform CRA_b;Vacuolar protein sorting-associated protein VTA1 homolog","A0A087WY55_HUMAN;VTA1_HUMAN"
"NEK3","A0A087WY58;P51956","Serine/threonine-protein kinase Nek3","A0A087WY58_HUMAN;NEK3_HUMAN"
"GSTT2;GSTT2;GSTT2B;GSTT2B","A0A087WY67;P0CG29;P0CG30;Q6ICJ4","glutathione transferase;Glutathione S-transferase theta-2;Glutathione S-transferase theta-2B;glutathione transferase","A0A087WY67_HUMAN;GST2_HUMAN;GSTT2_HUMAN;Q6ICJ4_HUMAN"
"PCSK6","A0A087WY68;A0A087WZR0;A0A7I2V3M4;A0A7I2YQH5;H0Y3Q0;P29122","Proprotein convertase subtilisin/kexin type 6;Proprotein convertase subtilisin/kexin type 6;Proprotein convertase subtilisin/kexin type 6 (Fragment);Proprotein convertase subtilisin/kexin type 6;Proprotein convertase subtilisin/kexin type 6 (Fragment);Proprotein convertase subtilisin/kexin type 6","A0A087WY68_HUMAN;A0A087WZR0_HUMAN;A0A7I2V3M4_HUMAN;A0A7I2YQH5_HUMAN;H0Y3Q0_HUMAN;PCSK6_HUMAN"
"AP2M1","A0A087WY71;C9JGT8;C9JPV8;E9PFW3;Q96CW1","AP-2 complex subunit mu","A0A087WY71_HUMAN;C9JGT8_HUMAN;C9JPV8_HUMAN;E9PFW3_HUMAN;AP2M1_HUMAN"
"SLC6A6","A0A087WY96;A0A087WYN0;P31641","Transporter;Transporter;Sodium- and chloride-dependent taurine transporter","A0A087WY96_HUMAN;A0A087WYN0_HUMAN;SC6A6_HUMAN"
"TMEM106C","A0A087WYD4;F8VVN7;F8VWX5;F8W098;F8W120;H0YIA4;Q9BVX2","Transmembrane protein 106C;Transmembrane protein 106C;Transmembrane protein 106C;Transmembrane protein 106C;Transmembrane protein 106C;Transmembrane protein 106C (Fragment);Transmembrane protein 106C","A0A087WYD4_HUMAN;F8VVN7_HUMAN;F8VWX5_HUMAN;F8W098_HUMAN;F8W120_HUMAN;H0YIA4_HUMAN;T106C_HUMAN"
"TAP2","A0A087WYD6;A0A8V8TNJ0;Q03519;X5CMH5","Antigen peptide transporter 2","A0A087WYD6_HUMAN;A0A8V8TNJ0_HUMAN;TAP2_HUMAN;X5CMH5_HUMAN"
"SEZ6L2","A0A087WYL5;Q6UXD5","Seizure 6-like protein 2","A0A087WYL5_HUMAN;SE6L2_HUMAN"
"MED6","A0A087WYL7;G3V4A5;O75586","Mediator of RNA polymerase II transcription subunit 6","A0A087WYL7_HUMAN;G3V4A5_HUMAN;MED6_HUMAN"
"KIAA0586","A0A087WYM5;A0A494C0M8;A0A494C0Z1;A0A494C171;Q9BVV6","Protein TALPID3","A0A087WYM5_HUMAN;A0A494C0M8_HUMAN;A0A494C0Z1_HUMAN;A0A494C171_HUMAN;TALD3_HUMAN"
"ZNF2;LOC122539214;ZNF189;ZNF2;ZNF841;ZNF836;ZNF2","A0A087WYR5;A0A7P0TAN4;O75820;Q68CY6;Q6ZN19;Q6ZNA1;Q9BSG1","Zinc finger protein 2;Zinc finger protein 160-like;Zinc finger protein 189;Uncharacterized protein DKFZp686D2168;Zinc finger protein 841;Zinc finger protein 836;Zinc finger protein 2","A0A087WYR5_HUMAN;A0A7P0TAN4_HUMAN;ZN189_HUMAN;Q68CY6_HUMAN;ZN841_HUMAN;ZN836_HUMAN;ZNF2_HUMAN"
"UGP2","A0A087WYS1","UTP--glucose-1-phosphate uridylyltransferase","A0A087WYS1_HUMAN"
"PTGES3","A0A087WYT3;Q15185","Prostaglandin E synthase 3","A0A087WYT3_HUMAN;TEBP_HUMAN"
"SYNJ2BP-COX16","A0A087WYV9;A0A087X1F5","Cytochrome c oxidase assembly protein COX16 homolog, mitochondrial;Cytochrome c oxidase assembly protein COX16 homolog, mitochondrial (Fragment)","A0A087WYV9_HUMAN;A0A087X1F5_HUMAN"
"CGA","A0A087WYZ4;A0A0R4J2F0;P01215","Glycoprotein hormones alpha chain","A0A087WYZ4_HUMAN;A0A0R4J2F0_HUMAN;GLHA_HUMAN"
"RAVER1","A0A087WZ13","Ribonucleoprotein PTB-binding 1","A0A087WZ13_HUMAN"
";ALG9","A0A087WZ62;Q9H6U8","Mannosyltransferase;Alpha-1,2-mannosyltransferase ALG9","A0A087WZ62_HUMAN;ALG9_HUMAN"
"PARVB","A0A087WZB5;Q9HBI1","Beta-parvin","A0A087WZB5_HUMAN;PARVB_HUMAN"
"HMGN3","A0A087WZE9","High mobility group nucleosome-binding domain-containing protein 3","A0A087WZE9_HUMAN"
"ARHGEF18","A0A087WZG4;A0A3B3IPE9;Q6ZSZ5","Rho guanine nucleotide exchange factor 18","A0A087WZG4_HUMAN;A0A3B3IPE9_HUMAN;ARHGI_HUMAN"
"IDH3B","A0A087WZN1;O43837","Isocitrate dehydrogenase [NAD] subunit, mitochondrial;Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial","A0A087WZN1_HUMAN;IDH3B_HUMAN"
"NAPB","A0A087WZQ7;Q9H115","Beta-soluble NSF attachment protein","A0A087WZQ7_HUMAN;SNAB_HUMAN"
"BCL9L","A0A087WZX0;Q86UU0","B-cell CLL/lymphoma 9-like protein","A0A087WZX0_HUMAN;BCL9L_HUMAN"
"COL4A6","A0A087WZY5;A8MXH5;F5H3Q5;Q14031","Collagen alpha-6(IV) chain","A0A087WZY5_HUMAN;A8MXH5_HUMAN;F5H3Q5_HUMAN;CO4A6_HUMAN"
"KIF3A","A0A087X011;E9PES4;J3KPF9;Q9Y496","Kinesin-like protein;Kinesin-like protein;Kinesin-like protein;Kinesin-like protein KIF3A","A0A087X011_HUMAN;E9PES4_HUMAN;J3KPF9_HUMAN;KIF3A_HUMAN"
"RYR3","A0A087X080;A0A0U1RRH1;A0A0X1KG73;Q15413","Ryanodine receptor 3","A0A087X080_HUMAN;A0A0U1RRH1_HUMAN;A0A0X1KG73_HUMAN;RYR3_HUMAN"
"JADE2","A0A087X085;A0A0C4DFT8;A0A7P0TAP8;B5MBX1;C9J929;G3XAA4;Q9NQC1","E3 ubiquitin-protein ligase Jade-2;E3 ubiquitin-protein ligase Jade-2;E3 ubiquitin-protein ligase Jade-2;E3 ubiquitin-protein ligase Jade-2;E3 ubiquitin-protein ligase Jade-2 (Fragment);E3 ubiquitin-protein ligase Jade-2;E3 ubiquitin-protein ligase Jade-2","A0A087X085_HUMAN;A0A0C4DFT8_HUMAN;A0A7P0TAP8_HUMAN;B5MBX1_HUMAN;C9J929_HUMAN;G3XAA4_HUMAN;JADE2_HUMAN"
"WDR13","A0A087X091","WD repeat-containing protein 13 (Fragment)","A0A087X091_HUMAN"
"SNAP47","A0A087X0B7;A0A087X2J6;A0A7P0T8U4;A0A7P0Z4P6;H7C3C7;Q5SQN1","Synaptosomal-associated protein 47","A0A087X0B7_HUMAN;A0A087X2J6_HUMAN;A0A7P0T8U4_HUMAN;A0A7P0Z4P6_HUMAN;H7C3C7_HUMAN;SNP47_HUMAN"
"RBM26","A0A087X0H9","RNA-binding protein 26","A0A087X0H9_HUMAN"
"MARK1","A0A087X0I6;B4DIB3;Q9P0L2","non-specific serine/threonine protein kinase;non-specific serine/threonine protein kinase;Serine/threonine-protein kinase MARK1","A0A087X0I6_HUMAN;B4DIB3_HUMAN;MARK1_HUMAN"
"COL15A1","A0A087X0K0;P39059","Collagen alpha-1(XV) chain","A0A087X0K0_HUMAN;COFA1_HUMAN"
"TJP1","A0A087X0K9","Tight junction protein 1 (Zona occludens 1), isoform CRA_a","A0A087X0K9_HUMAN"
"OXA1L","A0A087X0L7;J3KNA0;Q15070","Mitochondrial inner membrane protein OXA1L","A0A087X0L7_HUMAN;J3KNA0_HUMAN;OXA1L_HUMAN"
"SLC4A1AP","A0A087X0M4","Kanadaptin","A0A087X0M4_HUMAN"
"CHL1","A0A087X0M8;C9J905;O00533","Neural cell adhesion molecule L1-like protein;Neural cell adhesion molecule L1-like protein (Fragment);Neural cell adhesion molecule L1-like protein","A0A087X0M8_HUMAN;C9J905_HUMAN;NCHL1_HUMAN"
"LEPROT","A0A087X0N2;A0A3B3ISI6;O15243","Leptin receptor gene-related protein","A0A087X0N2_HUMAN;A0A3B3ISI6_HUMAN;OBRG_HUMAN"
"YTHDF3","A0A087X0Q1;Q7Z739","YTH domain-containing family protein 3","A0A087X0Q1_HUMAN;YTHD3_HUMAN"
"KDM6A","A0A087X0R0;A0A6Q8PFK0;O15550","Lysine-specific demethylase 6A","A0A087X0R0_HUMAN;A0A6Q8PFK0_HUMAN;KDM6A_HUMAN"
"SNX12","A0A087X0R6;Q9UMY4","Sorting nexin-12","A0A087X0R6_HUMAN;SNX12_HUMAN"
